Date,Open,High,Low,Close,Volume,Ticker
2000-01-03,,,,,,META
2000-01-04,,,,,,META
2000-01-05,,,,,,META
2000-01-06,,,,,,META
2000-01-07,,,,,,META
2000-01-10,,,,,,META
2000-01-11,,,,,,META
2000-01-12,,,,,,META
2000-01-13,,,,,,META
2000-01-14,,,,,,META
2000-01-18,,,,,,META
2000-01-19,,,,,,META
2000-01-20,,,,,,META
2000-01-21,,,,,,META
2000-01-24,,,,,,META
2000-01-25,,,,,,META
2000-01-26,,,,,,META
2000-01-27,,,,,,META
2000-01-28,,,,,,META
2000-01-31,,,,,,META
2000-02-01,,,,,,META
2000-02-02,,,,,,META
2000-02-03,,,,,,META
2000-02-04,,,,,,META
2000-02-07,,,,,,META
2000-02-08,,,,,,META
2000-02-09,,,,,,META
2000-02-10,,,,,,META
2000-02-11,,,,,,META
2000-02-14,,,,,,META
2000-02-15,,,,,,META
2000-02-16,,,,,,META
2000-02-17,,,,,,META
2000-02-18,,,,,,META
2000-02-22,,,,,,META
2000-02-23,,,,,,META
2000-02-24,,,,,,META
2000-02-25,,,,,,META
2000-02-28,,,,,,META
2000-02-29,,,,,,META
2000-03-01,,,,,,META
2000-03-02,,,,,,META
2000-03-03,,,,,,META
2000-03-06,,,,,,META
2000-03-07,,,,,,META
2000-03-08,,,,,,META
2000-03-09,,,,,,META
2000-03-10,,,,,,META
2000-03-13,,,,,,META
2000-03-14,,,,,,META
2000-03-15,,,,,,META
2000-03-16,,,,,,META
2000-03-17,,,,,,META
2000-03-20,,,,,,META
2000-03-21,,,,,,META
2000-03-22,,,,,,META
2000-03-23,,,,,,META
2000-03-24,,,,,,META
2000-03-27,,,,,,META
2000-03-28,,,,,,META
2000-03-29,,,,,,META
2000-03-30,,,,,,META
2000-03-31,,,,,,META
2000-04-03,,,,,,META
2000-04-04,,,,,,META
2000-04-05,,,,,,META
2000-04-06,,,,,,META
2000-04-07,,,,,,META
2000-04-10,,,,,,META
2000-04-11,,,,,,META
2000-04-12,,,,,,META
2000-04-13,,,,,,META
2000-04-14,,,,,,META
2000-04-17,,,,,,META
2000-04-18,,,,,,META
2000-04-19,,,,,,META
2000-04-20,,,,,,META
2000-04-24,,,,,,META
2000-04-25,,,,,,META
2000-04-26,,,,,,META
2000-04-27,,,,,,META
2000-04-28,,,,,,META
2000-05-01,,,,,,META
2000-05-02,,,,,,META
2000-05-03,,,,,,META
2000-05-04,,,,,,META
2000-05-05,,,,,,META
2000-05-08,,,,,,META
2000-05-09,,,,,,META
2000-05-10,,,,,,META
2000-05-11,,,,,,META
2000-05-12,,,,,,META
2000-05-15,,,,,,META
2000-05-16,,,,,,META
2000-05-17,,,,,,META
2000-05-18,,,,,,META
2000-05-19,,,,,,META
2000-05-22,,,,,,META
2000-05-23,,,,,,META
2000-05-24,,,,,,META
2000-05-25,,,,,,META
2000-05-26,,,,,,META
2000-05-30,,,,,,META
2000-05-31,,,,,,META
2000-06-01,,,,,,META
2000-06-02,,,,,,META
2000-06-05,,,,,,META
2000-06-06,,,,,,META
2000-06-07,,,,,,META
2000-06-08,,,,,,META
2000-06-09,,,,,,META
2000-06-12,,,,,,META
2000-06-13,,,,,,META
2000-06-14,,,,,,META
