Date,Open,High,Low,Close,Volume,Ticker
2000-01-03,,,,,,RTY=F
2000-01-04,,,,,,RTY=F
2000-01-05,,,,,,RTY=F
2000-01-06,,,,,,RTY=F
2000-01-07,,,,,,RTY=F
2000-01-10,,,,,,RTY=F
2000-01-11,,,,,,RTY=F
2000-01-12,,,,,,RTY=F
2000-01-13,,,,,,RTY=F
2000-01-14,,,,,,RTY=F
2000-01-18,,,,,,RTY=F
2000-01-19,,,,,,RTY=F
2000-01-20,,,,,,RTY=F
2000-01-21,,,,,,RTY=F
2000-01-24,,,,,,RTY=F
2000-01-25,,,,,,RTY=F
2000-01-26,,,,,,RTY=F
2000-01-27,,,,,,RTY=F
2000-01-28,,,,,,RTY=F
2000-01-31,,,,,,RTY=F
2000-02-01,,,,,,RTY=F
2000-02-02,,,,,,RTY=F
2000-02-03,,,,,,RTY=F
2000-02-04,,,,,,RTY=F
2000-02-07,,,,,,RTY=F
2000-02-08,,,,,,RTY=F
2000-02-09,,,,,,RTY=F
2000-02-10,,,,,,RTY=F
2000-02-11,,,,,,RTY=F
2000-02-14,,,,,,RTY=F
2000-02-15,,,,,,RTY=F
2000-02-16,,,,,,RTY=F
2000-02-17,,,,,,RTY=F
2000-02-18,,,,,,RTY=F
2000-02-22,,,,,,RTY=F
2000-02-23,,,,,,RTY=F
2000-02-24,,,,,,RTY=F
2000-02-25,,,,,,RTY=F
2000-02-28,,,,,,RTY=F
2000-02-29,,,,,,RTY=F
2000-03-01,,,,,,RTY=F
2000-03-02,,,,,,RTY=F
2000-03-03,,,,,,RTY=F
2000-03-06,,,,,,RTY=F
2000-03-07,,,,,,RTY=F
2000-03-08,,,,,,RTY=F
2000-03-09,,,,,,RTY=F
2000-03-10,,,,,,RTY=F
2000-03-13,,,,,,RTY=F
2000-03-14,,,,,,RTY=F
2000-03-15,,,,,,RTY=F
2000-03-16,,,,,,RTY=F
2000-03-17,,,,,,RTY=F
2000-03-20,,,,,,RTY=F
2000-03-21,,,,,,RTY=F
2000-03-22,,,,,,RTY=F
2000-03-23,,,,,,RTY=F
2000-03-24,,,,,,RTY=F
2000-03-27,,,,,,RTY=F
2000-03-28,,,,,,RTY=F
2000-03-29,,,,,,RTY=F
2000-03-30,,,,,,RTY=F
2000-03-31,,,,,,RTY=F
2000-04-03,,,,,,RTY=F
2000-04-04,,,,,,RTY=F
2000-04-05,,,,,,RTY=F
2000-04-06,,,,,,RTY=F
2000-04-07,,,,,,RTY=F
2000-04-10,,,,,,RTY=F
2000-04-11,,,,,,RTY=F
2000-04-12,,,,,,RTY=F
2000-04-13,,,,,,RTY=F
2000-04-14,,,,,,RTY=F
2000-04-17,,,,,,RTY=F
2000-04-18,,,,,,RTY=F
2000-04-19,,,,,,RTY=F
2000-04-20,,,,,,RTY=F
2000-04-24,,,,,,RTY=F
2000-04-25,,,,,,RTY=F
2000-04-26,,,,,,RTY=F
2000-04-27,,,,,,RTY=F
2000-04-28,,,,,,RTY=F
2000-05-01,,,,,,RTY=F
2000-05-02,,,,,,RTY=F
2000-05-03,,,,,,RTY=F
2000-05-04,,,,,,RTY=F
2000-05-05,,,,,,RTY=F
2000-05-08,,,,,,RTY=F
2000-05-09,,,,,,RTY=F
2000-05-10,,,,,,RTY=F
2000-05-11,,,,,,RTY=F
2000-05-12,,,,,,RTY=F
2000-05-15,,,,,,RTY=F
2000-05-16,,,,,,RTY=F
2000-05-17,,,,,,RTY=F
2000-05-18,,,,,,RTY=F
2000-05-19,,,,,,RTY=F
2000-05-22,,,,,,RTY=F
